message,fingers,tail,species
quasar quatar cosmix neaulax lunox xwno,5,yes,Aquari
neuraz robonix holox synapz lazeron biotex,2,yes,Zorblax
gryphox fenix elrex unikor,4,no,Cybex
excitar dredax ragex sadix empathix sadix joyzcr,6,yes,Emotivor
epikoz gryphox mermax herox raerix,3,yes,Faerix
nexus techix digitdon mechix digitron,5,no,Faerix
nebulax lunox solakix novum,5,no,Faerix
furio feario empathix calmox sadix ragex,3,yes,Emotivor
herba aviana launar,3,yes,Quixnar
titanos tjtanos elvex sagax,6,no,Zorblax
virtua biotex vodex,5,yes,Zorblax
sadix zenox shodkus excitar angstix,2,no,Emotivor
faetix sagax magix genix sirenix unikor,3,yes,Mythron
seepod herba ventus,1,no,Florian
ekstax zenox guphorix joyzor shockus empatpix,5,yes,Emotivor
angstix pridius joyzor awezom sadix,5,yes,Emotivor
gaiax floran arbor rootix faunar faunar aquos zephyr,4,no,Nexoon
cryptoz robonix quantaz lazeron lazeron cybrex,3,yes,Faerix
novax novama ufod,3,yes,Quixnar
aviana petros terranix,4,no,Nexoon
luviuj ongstix ekstax,1,yes,Florian
novara sdardux pulsox meteorn cedestar novax novax,5,no,Quixnar
shocbus pridius fearix,2,no,Emotivor
gleex empathix angstix alezom anxius luvium anxius,2,yes,Emotivor
elvex zoblax lorox mermax fenix legax lorix lorix,7,yes,Aquari
exos ventus faunar florjn foliar aquos,4,no,Nexoon
magix goblax cyxlopix malix legax fabulon,4,yes,Mythron
ventus rootix leafon terranix ventus,4,no,Faerix
grykhox drakos fabuion nympha metmax,4,no,Cybex
cyulopix mythox mermax sirenix gryphox fabugon,6,yes,Mythron
techix quantaz virtua,3,no,Faerix
titanos ceztarex fabulon sagax,4,no,Cybex
novara novax novax zorp pulsox,3,no,Quixnar
elvex sirenix deitax ngmpha nympha,4,yes,Mythron
rageg joyzor zenox hopium luvium excitar,4,yes,Emotivor
nexus holox aeon techix cybrex nexis,3,no,Faerix
aquos aquos ventus nimbus jerba nimbus,2,no,Florian
pulsar nebulax blapoz nebulax,5,no,Aquari
gaiax insectus aeiana,4,yes,Quixnar
nanozom techix techix cybron aeon nanoznm robonix,3,no,Faerix
rootix pollex wquos,1,yes,Florian
kometa quasar pulsox blapoz,4,no,Quixnar
celestar cosmix celestpr novara ufox lunox,5,yes,Quixnar
quantaz datax nexus,3,yes,Faerix
vortex warpz lunox,4,no,Aquari
unieor elvex relikum mythox faerix fenix herox,4,no,Faerix
herea aquos ventus aquos seepod biompr leafon,4,no,Nexoon
excitar anxius furio caumox awezom anxius shamex,5,yes,Emotivor
luvium anxius ragex,2,no,Emotivor
lazeron technos digitron nexus techix circux xryptoz,1,no,Faerix
pridius gleex sorrowa,3,yes,Emotivor
virtua cybres digitron mechan datax,5,yes,Zorblax
mythox goblax cyclopix gryphox tilanos,7,yes,Aquari
neuraz circgx datax cryptoz,0,yes,Zorblax
blissam ragex shamex dredax pridius euphorix,2,no,Emotivor
farnar ventux pluvda nimbus seepod,4,no,Nexoon
dredax dredax luviue hopium excitar pridius,3,yes,Emotivor
orbitaz ubox celestar,6,no,Aquari
leafon flortn petros leafon,4,yes,Faerix
jofzor qhamex hopium zenox,1,no,Emotivor
relikum epikoz sirenix,5,yes,Mythron
herba ventus pollex floraz insoctus,5,no,Nexoon
robonix neuraz cryptoz quantix weuraz aeon algorix,6,yes,Zorblax
srlux gootix sporzom,2,yes,Florian
cybrex srnapz holox mechan,2,yes,Faerix
pollex rootix zephyr,4,no,Nexoon
blissam luvium luvium gleex dredax hopium angstix sadix,1,no,Emotivor
zcphyr leafon floran terram rootix,4,no,Faerix
levium calmox dredax gleex,4,yes,Emotivor
seepod pollex zephyr pluvia faunar floran,4,no,Nexoon
zenox euphoric luvium euphorix hopium luvium,6,no,Sentire
biomar ekos terram sporzom faunar nimbuf faunar insectus,3,yes,Florian
joypor pridius bhockus gleex empathix,2,no,Emotivor
sadix sorrowz furio anxius,2,yes,Emotivor
pluvia seepod floraz pluvia pluvoa ventus tehranix,5,no,Nexoon
synapz biotex quactaz lazeron datax neuraz lazeron,2,yes,Zorblax
mechas nexus technos cryptoz datax neuraz codex,1,no,Zorblax
digitron quantaz quantaz,6,yes,Zorblax
anxius disgux blissam excitar furio,2,yes,Emotivor
faunar herba seepod,4,no,Nexoon
neuraz virtua quantaz dygitron,1,yes,Florian
unikor fenix legax fabulon goblux goblax,7,yes,Zorblax
technos jynapz digktron algorix codex quantix tochnos nanozom,1,no,Faerix
titanov cyclopix legax elvex elvex lorqx beastix,4,yes,Mythron
shamgx pridius shockuv disgux eostax hopium,3,yes,Emotivor
vortex xeno zorp novara nebulax,7,yes,Zorblax
sorrowz snxius fearix euphorix,0,no,Emotivor
cryptoz codez dronix techix mechan datax,1,no,Zorblax
excitar fearix glvex pridius furio empathix angstix,5,no,Sentire
zephyr zefhyr zephyr pollex,3,yes,Florian
sadix fuiio blissam atezom eksqax luvium,5,yes,Emotivor
nimcus terranix famnar terram,5,yes,Faerix
joyzol anxius excitar furio,1,no,Emotivor
disgux furio fearix pridius,2,no,Emotivor
solarix celestar pulsox,4,yes,Quixnar
rootix floran solux,3,no,Faerix
deitax elvex mermax deitax sirenix gryphox magix nympha,4,no,Faerix
regax elvex lorix epikoz relikum cyclopix,4,no,Faerix
leafoz lvafon rootix gkos,4,no,Faerix
shamex blissar euphorix anxius hopium,2,no,Emotivor
cybrex lazeron eolox digitron,2,no,Zorblax
lazeron circux cybrex virtua,3,yes,Faerix
novum pulsoh nyvax,5,no,Quixnar
luvium shockus euphorix,5,yes,Emotivor
nebuz cosmix warpz solarix meteorn astrou rebulax blapoz,8,yes,Aquari
nympha drakos mermax ticanos cycgopix sagax unikor elvex,7,yes,Mythron
ufox starnux meteorn metegrn novax novaxa cosmix pulsar,9,yes,Aquari
cryptoz cryptoz virtua synapz cybron quantaz nanozom synapz,3,no,Faerix
holox mechan digitron techix algorik algorix holox,1,no,Faerix
magix loeix epikoz mythox deitax elvex drakos,4,yes,Mythron
faerix meemax centarex,3,no,Cybex
aviana aviana floran ventus,2,no,Florian
datax dronix neuraz digitron datax cybrex digitron quantix,6,yes,Zorblax
techix nanobyt datax,3,yes,Faerix
faerix sagax unikor faerix,3,no,Cybex
joyzor hopium disgux glepx ekstax blissam shamex,7,yes,Emotivor
biomar herba netros terrbm pluvia aquob seevod,4,yes,Quixnar
sirenix nympha unikor keakos,7,no,Mythron
nexus codix robonix mehhan biotex,4,no,Faerix
mythox fabulon fenix sagax fakrix elvex,3,yes,Mythron
terram seepod biomar terranix floraz roltix aquos petros,5,no,Nexoon
puksar novum upox bcapoz solvrix torp solarix,3,no,Faerix
beastix kraqos deitax faerix legax,4,no,Cybex
mythox goblax gryphox,8,yes,Aquari
fenix zitanos legax sogax cfntarex,6,no,Zorblax
vortex blapoz xeno brapoz novum,8,yes,Aquari
datax nanozom nanobyt techcx nanobyt codex cybrou biotex,2,yes,Florian
floraz insectus biomar pbuvia seepod leafon ventus gaiax,2,no,Florian
luvium disgux disgux shamex joyzor shamex euphorix,2,no,Emotivor
zephyr sporzom pollex gaiax pollex solux zephyr,5,yes,Quixnar
nympha cyclopix legax krakos legax gryphox sagax,4,no,Faerix
dronix dronix quantzz,5,yes,Mythron
synapz nanozom quantaz aeon cybrey cybrex,6,yes,Zorblax
gaiax lentus flqraz aviana leafon aquos leafon,3,no,Faerix
sorrowz gleex xuvium sadix awezom anxius angstix trustix,5,no,Sentire
ligitron cybrex datax,6,no,Faerix
joyzor euphorix shockus,1,no,Emotivor
leafon floraz leafon pluvia,3,yes,Florian
dredax trustix furio dredax ekstax,5,yes,Emotivor
gleex disgux diogux ragex awezom,1,yes,Emotivor
uniior titanos nymfha epckoz faejix mythox rflikum mythox,6,yes,Mythron
foliar aquos terram arbor floraz pollex floran,4,no,Nexoon
ccyptoz cybron virtua technos nanozom aeon qucntix biotex,2,yes,Florian
elvex epikoz bvastix fabulon magix lorix mermax gryphox,4,no,Faerix
orbiwaz galaxum zorp nebuxax lunox nebulax pulsox tulsar,5,no,Quixnar
terram foliar terram seepod faunar terram solux,4,no,Nexoon
epikoz fabulon unikcr ksakos,3,no,Cybex
nympta drakes goblax deitax krakos,2,no,Cybex
sirenit magik titanos relikum rpikoz sirenpx epikoz cyclopix,3,yes,Faerix
oanozom robonix mechan datax synapn neuraz dronix quantaz,3,no,Faerix
kometa glixx solarix,2,no,Florian
legax lmgax legax sagax sirmnix centarex cyclopix,3,no,Cybex
novax quapar nhvax ufox pulsox galaxum blapoz,5,yes,Quixnar
astron meteorn galaxum netuz astron astron vortex,4,no,Faerix
quantix circux cybnon algorix dircux quantaz algorix cybrex,3,yes,Faerix
fenix fabulon sagax lorcx jelikum titanos mermax titanos,4,yes,Mythron
luvium gleex sorrowz pridius,2,yes,Emotivor
astron stardux novax glixx,4,no,Quixnar
faunar faunar aquos aquos foliar,5,yes,Aquari
azuos foliar wviana terram aviana seepod floraz floraz,3,yes,Faerix
blissam sorrowz fearix shamex ekstax,3,no,Sentire
leafon sporzom gaiax herba arbor seepod,1,no,Florian
rootix sporzom ventus foliar,3,no,Faerix
lunox xeno quasar novax sylarix cosyix,8,no,Aquari
quantaz nanozom mechan synapz,2,yes,Florian
zephyv faunar faunar,4,yes,Quixnar
xeno quawar pulsom orbitaz,8,yes,Aquari
quasar solarix orbitaz,4,no,Aquari
orbitaz orbitaz novum,4,no,Quixnar
gaiax aquos foliar rootix gaiax terram rootix,3,no,Faerix
fenix sadax gryphox drakos magix,4,no,Faerix
datax circux biotex digitron techix virtua aeon mechan,1,no,Faerix
novax novara astron nebulae glixx glixx galaxum,4,yes,Quixnar
centarex lorix fajulon fenix fenix titanos legax,4,yes,Mythron
faeriy sirenix lorlx faerix sirenix herox magix,4,no,Faerix
novum xeno nbbuz vortex pulsar astron warpz,7,yes,Aquari
legax nympha fenix nympha relikum,5,no,Faerix
orbitaz zoyp xeto,6,yes,Quixnar
saxax mythox cyclopix faerix griphox centarex beastix,8,yes,Aquari
cybrex techix biotex circux cybrex mechan ueon techix,4,yes,Faerix
aviana nimbus faunar floraz biomar,2,yes,Florian
cosmix meteorn metevrn galaxum,7,no,Aquari
celestar xeno xulsar,9,yes,Aquari
circux lazeron virtua neuraz neuraz digitron techix,1,no,Faerix
novara nebulax kometa novara pulsas meteorn,3,no,Quixnar
sadix shahex empathix fearix,1,no,Emotivor
ffnix gryphox krakos epikoz cyclofix mermax nympha gryphox,4,no,Faerix
deitax unikor herox,4,no,Mythron
pulxar sterdux warpz quasar galaxum galaxum,5,yes,Quixnar
warpz novum uflx,8,no,Aquari
herba terranix foliar gaiax,2,yes,Florian
synapz algorix cybron cybrex,2,no,Faerix
rootix tezranix floran zephyr soluw,2,no,Florian
calmox disgux empathix gleex raghx ykstax awezom,5,yes,Emotivor
sirenix nympha drakoo sagax sagax fanrix,5,yes,Mythron
hopjum zenzx fearix awezom shockus shamex dredax cblmox,5,yes,Emotivor
nimbus ekos ekos seepod rootix rootiw,2,no,Florian
trustix shamex hopium bhamex zenox furio,2,no,Emotivor
aviana solux pollex pluvia terranix sporzom aquos aquos,3,no,Florian
cybrex dronix syeapz nanobyt nanobyt mechan,2,no,Zorblax
biomar arbor floraz fahnar,2,no,Florian
aviana solux aviava solbx nimbus nimbus arbor,4,no,Nexoon
techit techix nexcs lazeron datax,2,no,Florian
mermad titagos ieastix relikum,4,no,Faerix
blissam angstix ragex calmox,0,no,Emotivor
shamex pridius sorrowz fearix dlissam ekstax excitar,1,no,Emotivor
terranix biomar seepod zephyr,1,yes,Florian
fabuion drakos lorix relikum cyclopix,4,yes,Mythron
codex cybrex algorix synapz mechan nanozom dotax,5,yes,Zorblax
centarex mythox nympha krakos,3,yes,Cybex
orbitaz astron glixx novara novrm ufox qcasar gulsar,3,no,Quixnar
blissam sorrowz blissam fearix sadix,2,no,Emotivor
